"Review_Date","Average_Score","Hotel_Name","Reviewer_Nationality","Negative_Review","Review_Total_Negative_Word_Counts","Total_Number_of_Reviews","Positive_Review","Review_Total_Positive_Word_Counts","Total_Number_of_Reviews_Reviewer_Has_Given","Reviewer_Score"
"10/23/2016",8.4,"Arthotel ANA Prime","United Kingdom","the quality of the breakfast was very poor",9,1813,"close to the tube station",6,20,8.3
"6/8/2016",8.9,"St George s Hotel Wembley","United Kingdom","In our opinion this is not a five star hotel This was the most expensive room we had stayed in on several visits to London and was not worth the money we paid No toilet rolls in our bathroom when we arrived so we had to request some from reception The Lady who brought the t rolls to our room was rather rude and needed to see the empty toilet roll holder before she gave us one No apology was given from her The room was very small and the twin beds were not particularly comfortable with quilts that just about covered your torso We are ladies size 8 and 12 so I pity any male occupants Towels toiletries were not 5 star high quality only two English breakfast tea bags left in the room and no hot Chocolate sachets Lots of UHT milk cartons left in the fridge why and one of the two milk cartons we opened was off so we had just one cup of tea The milk cartons should be checked and changed on a daily basis The cost of the room was maybe due to the extra television in the bathroom A facility which we did not use and we considered this addition unnecessary in this type of room standard In our opinion it is obvious that you pay a higher price for a room when there is an event at Wembley but this was not worth the extra cost The next time we will choose a central London hotel and travel to Wembley",261,2274,"Reception staff were welcoming friendly and were quick to solve our problem re lack of toilet rolls in bathroom Having stayed at other Wembley hotels when attending previous events we have had to que for breakfast and the restaurants were understaffed for the number of guests At this hotel breakfast was a more pleasant experience with clean tables and a friendly waitress The Air conditioning in our room worked well as it was a hot night Good position for Wembley Stadium with a quiet atmosphere",87,1,6.3
"1/11/2017",8,"Holiday Inn London Mayfair","Indonesia","No Negative",0,1894,"All all perfect very nice and warm during stay",10,1,10
"12/25/2015",7.5,"Mayflower Hotel Apartments","United Kingdom","That I had to leave",6,2197,"Everything",2,2,10
"5/25/2017",8.6,"Pestana Chelsea Bridge Hotel Spa","United Kingdom","Tea and coffee in room not much choice",9,1686,"Very clean and modern",5,3,9.6
"4/6/2017",8.5,"Clayton Hotel Chiswick","United Kingdom","Scrambled egg way too runny at breakfast",8,1944,"Great help at reception upgraded room",7,2,9.6
"5/23/2016",8.3,"Lancaster London","Malta","Small rooms Tiny bathrooms",6,1463,"No Positive",0,4,6.7
"3/1/2016",8.6,"Hotel Xanadu","United Kingdom","Not enough tea bags milk sugar in rooms",9,269,"Cleanliness and comfort of bed",6,1,8.8
"12/6/2015",8.1,"Amsterdam Marriott Hotel","Belgium","No Negative",0,1556,"Helpful friendly staff",4,1,9.6
"12/11/2016",8.9,"Canary Riverside Plaza Hotel","United Kingdom","No tea and coffee making facilities in room",9,310,"The bed the bar breakfast although expensive The health club",12,1,9.2
"9/26/2016",8.9,"The Chamberlain","United Kingdom","We ordered still water late in the evening and got sparkling had to call reception again to get right water bottles delivered",23,2543,"Evening Meal",3,1,8.8
"5/26/2016",7.1,"Britannia International Hotel Canary Wharf","United Kingdom","Really needs an update and the rooms are very tatty lots of scrapes scuffs carpets coming up the restaurants and food is a bit pub standard Given the location and exterior it should really be a spectacular place to stay",42,9086,"Quiet spacious big room good shower ideal location",10,5,6.7
"12/13/2015",7.9,"Hotel Amsterdam De Roode Leeuw","Israel","very small television set",5,631,"great location next to dam square the superior room was great we realy loved the large bathroom with heated foolrs saparate shower bath",25,3,9.6
"10/24/2016",7,"NH Carlton Amsterdam","Guatemala","No Negative",0,4231,"The hotel is an excellent location when you are visiting Amsterdam The staff was friendly and courteous They have a great buffet breakfast if you are very hungry",30,1,8.8
"12/10/2016",8.6,"Catalonia Ramblas 4 Sup","Egypt","Very slow internet",4,4276,"Breakfast",2,27,6.3
"8/18/2016",9.1,"M by Montcalm Shoreditch London Tech City","Serbia","No Negative",0,4802,"Great People Excellent Service",6,15,10
"2/16/2017",8.7,"St James Court A Taj Hotel London","United Kingdom","Whilst I was delighted to receive an upgrade the room itself was lovely but there was a terrible smell of smoke which came through the ventilation",27,5394,"The set up of the hotel the grounds and social spaces are lovely much more relaxing than a number of central London hotels",24,1,6.7
"6/15/2017",9.3,"Small Luxury Hotel Altstadt Vienna","Switzerland","No Negative",0,664,"Breakfast and the afternoon tea with homemade cake was great",11,1,8.8
"6/13/2016",8.2,"The Queens Gate Hotel","Australia","No Negative",0,2516,"comfy bed great location recommend to anyone",8,9,10
"6/28/2016",8,"The Gates Diagonal Barcelona","South Africa","Room was not clean",6,1725,"No Positive",0,1,4.2
"8/11/2016",8.6,"NH Collection Amsterdam Barbizon Palace","Israel","the stairs in the room",6,2865,"food was excellent",4,2,7.9
"4/17/2016",8.4,"H tel des Champs Elys es","India","High prices",3,755,"Location is good Staff courtesies",6,1,6.7
"5/21/2017",9.6,"H10 Casa Mimosa 4 Sup","Australia","No Negative",0,454,"Comfortable and stylish hotel",5,2,9.6
"8/27/2016",8.7,"The Kensington Hotel","Kuwait","No Negative",0,874,"I was very happy to stay in yours hotel",10,1,10
"4/12/2016",8.3,"Hotel Advance","United Kingdom","There was no bar which I would ve preferred and my view wasn t very nice just saw backs of houses and shops For a good view you would need a room at the front of hotelThere was no bath shower only and there was masking tape left around the shower and bathroom door where they had obviously had building work done but not cleaned it off",69,156,"I had a room on the fifth floor which was nice as I couldn t hear much traffic The staff were very friendly and helpful It was in a great location and very close to the metro which is very easy to use The bedroom was very clean and the bed was very comfortable",56,1,7.9
"3/29/2017",9,"Hotel Monsieur","Belgium","nothing",2,817,"The Tunisian lady at the reception was very smiling and helpfull",12,8,10
